"YEAR","HAUL_DATE","SPECIES","FMP_AREA","GEAR_TYPE","EXTRAPOLATED_WEIGHT"
2018,2018-08-17,303,"GOA",1,4246.69
2018,2018-08-17,303,"GOA",1,6431.51
2018,2018-07-19,303,"GOA",1,23.6
2018,2018-08-17,303,"GOA",1,523.01
2018,2018-08-17,303,"GOA",1,12836.22
2018,2018-08-18,303,"GOA",1,4189.05
2018,2018-08-18,303,"GOA",1,2643.61
2018,2018-08-18,303,"GOA",1,7052.39
2018,2018-08-18,303,"GOA",1,6786.27
2018,2018-08-19,303,"GOA",1,910.84
2018,2018-08-23,303,"GOA",1,6634.94
2018,2018-07-27,303,"GOA",1,199.73
2018,2018-07-27,303,"GOA",1,128.38
2018,2018-07-28,303,"GOA",1,261.36
2018,2018-07-28,303,"GOA",1,194.81
2018,2018-07-29,303,"GOA",1,44.6
2018,2018-07-29,303,"GOA",1,58.55
2018,2018-07-19,303,"GOA",1,10351.69
2018,2018-07-19,303,"GOA",1,9807.09
2018,2018-07-19,303,"GOA",1,10235.72
2018,2018-07-19,303,"GOA",1,36085.8
2018,2018-07-19,303,"GOA",1,3431.46
2018,2018-07-20,303,"GOA",1,732.21
2018,2018-07-20,303,"GOA",1,1787.81
2018,2018-07-20,303,"GOA",1,4033.05
2018,2018-07-20,303,"GOA",1,9423.15
2018,2018-07-20,303,"GOA",1,2679.08
2018,2018-07-30,303,"GOA",1,3469.68
2018,2018-07-30,303,"GOA",1,1615.19
2018,2018-07-30,303,"GOA",1,269.44
2018,2018-07-30,303,"GOA",1,1547.51
2018,2018-07-30,303,"GOA",1,36.33
2018,2018-07-23,303,"GOA",1,877.67
2018,2018-07-23,303,"GOA",1,36.89
2018,2018-07-23,303,"GOA",1,8996.94
2018,2018-07-24,303,"GOA",1,14911.01
2018,2018-07-24,303,"GOA",1,16850.35
2018,2018-07-25,303,"GOA",1,14581.36
2018,2018-07-20,303,"GOA",1,64.2
2018,2018-07-21,303,"GOA",1,119.63
2018,2018-08-06,303,"GOA",1,375.47
2018,2018-07-25,303,"GOA",1,837.61
2018,2018-08-07,303,"GOA",1,192.99
2018,2018-08-01,303,"GOA",1,5018.24
2018,2018-08-18,303,"GOA",1,1386.22
2018,2018-08-19,303,"GOA",1,110.7
2018,2018-07-22,303,"GOA",1,361.75
2018,2018-07-23,303,"GOA",1,237.59
2018,2018-07-23,303,"GOA",1,15142.57
2018,2018-07-22,303,"GOA",1,5181.34
2018,2018-08-04,303,"GOA",1,2248.82
2018,2018-08-04,303,"GOA",1,5306.19
2018,2018-08-05,303,"GOA",1,31.4
2018,2018-08-05,303,"GOA",1,47.49
2018,2018-07-27,303,"GOA",1,928.05
2018,2018-08-02,303,"GOA",1,4040.94
2018,2018-08-02,303,"GOA",1,1800.04
2018,2018-08-02,303,"GOA",1,1395.38
2018,2018-08-02,303,"GOA",1,7937.51
2018,2018-08-02,303,"GOA",1,8577.23
2018,2018-08-02,303,"GOA",1,11304.54
2018,2018-08-02,303,"GOA",1,9957.32
2018,2018-08-03,303,"GOA",1,23665.92
2018,2018-04-12,303,"GOA",1,1686.07
2018,2018-04-12,303,"GOA",1,6680.38
2018,2018-04-12,303,"GOA",1,1454.19
2018,2018-04-13,303,"GOA",1,1413.96
2018,2018-04-13,303,"GOA",1,56.82
2018,2018-07-27,303,"GOA",1,2906.33
2018,2018-07-28,303,"GOA",1,37.56
2018,2018-07-28,303,"GOA",1,39.03
2018,2018-07-30,303,"GOA",1,19.36
2018,2018-08-03,303,"GOA",1,6563.71
2018,2018-08-03,303,"GOA",1,208.45
2018,2018-08-03,303,"GOA",1,13125.78
2018,2018-08-04,303,"GOA",1,507.12
2018,2018-08-04,303,"GOA",1,1001.01
2018,2018-08-04,303,"GOA",1,3819.23
2018,2018-08-04,303,"GOA",1,14735.42
2018,2018-08-04,303,"GOA",1,23720
2018,2018-08-21,303,"GOA",1,1953.7
2018,2018-08-21,303,"GOA",1,873.08
2018,2018-08-09,303,"GOA",1,76.12
2018,2018-06-14,303,"GOA",1,1948.92
2018,2018-06-05,303,"GOA",1,3550.93
2018,2018-06-05,303,"GOA",1,12772.85
2018,2018-06-05,303,"GOA",1,579.67
2018,2018-06-05,303,"GOA",1,1501.32
2018,2018-06-05,303,"GOA",1,1445.91
2018,2018-06-03,303,"GOA",1,3508.22
2018,2018-06-03,303,"GOA",1,9779.43
2018,2018-06-03,303,"GOA",1,9589.69
2018,2018-06-03,303,"GOA",1,2845.53
2018,2018-06-04,303,"GOA",1,4855.43
2018,2018-06-04,303,"GOA",1,2834
2018,2018-06-04,303,"GOA",1,1761.63
2018,2018-06-04,303,"GOA",1,655.22
2018,2018-07-25,303,"GOA",1,790.58
2018,2018-07-26,303,"GOA",1,13418.59
2018,2018-07-26,303,"GOA",1,276.23
2018,2018-09-03,303,"GOA",8,5.49
2018,2018-06-09,303,"GOA",1,8455.63
2018,2018-06-09,303,"GOA",1,4019.99
2018,2018-06-09,303,"GOA",1,362.95
2018,2018-06-13,303,"GOA",1,245.6
2018,2018-04-22,303,"GOA",1,26.01
2018,2018-09-01,303,"GOA",8,5.56
2018,2018-05-08,303,"GOA",1,60.88
2018,2018-05-09,303,"GOA",1,555.2
2018,2018-06-08,303,"GOA",1,1715.84
2018,2018-06-08,303,"GOA",1,55.83
2018,2018-06-07,303,"GOA",1,5547.16
2018,2018-06-07,303,"GOA",1,2007.36
2018,2018-06-07,303,"GOA",1,4719.8
2018,2018-06-08,303,"GOA",1,6360.29
2018,2018-06-08,303,"GOA",1,7494.09
2018,2018-05-15,303,"GOA",1,3472.18
2018,2018-05-15,303,"GOA",1,11840.32
2018,2018-05-15,303,"GOA",1,3081.3
2018,2018-05-15,303,"GOA",1,208.66
2018,2018-05-16,303,"GOA",1,5026.26
2018,2018-05-16,303,"GOA",1,3316.43
2018,2018-05-17,303,"GOA",1,1003.64
2018,2018-05-22,303,"GOA",1,3884.78
2018,2018-05-22,303,"GOA",1,1933.01
2018,2018-05-22,303,"GOA",1,425.22
2018,2018-05-22,303,"GOA",1,1843.73
2018,2018-05-23,303,"GOA",1,12808.44
2018,2018-05-23,303,"GOA",1,938.82
2018,2018-05-23,303,"GOA",1,1449.63
2018,2018-05-23,303,"GOA",1,2302.34
2018,2018-05-24,303,"GOA",1,1272.67
2018,2018-05-24,303,"GOA",1,49.18
2018,2018-05-27,303,"GOA",1,6706.37
